0.215: [GC 22085K->19810K(92352K), 0.1169220 secs]
0.595: [GC 45346K->39680K(92352K), 0.5863880 secs]
1.201: [GC 48628K(92352K), 0.0246330 secs]
1.253: [GC 65216K->59541K(92352K), 0.3668790 secs]
1.655: [GC 85077K->79400K(105216K), 0.2302870 secs]
1.921: [GC 104936K->99243K(125184K), 0.2388330 secs]
2.204: [GC 124779K->119092K(144960K), 0.2580030 secs]
2.509: [GC 144628K->138952K(164928K), 0.2325850 secs]
2.791: [GC 164488K->158686K(184512K), 0.4658570 secs]
3.331: [GC 184222K->179719K(205540K), 0.2740050 secs]
3.643: [GC 205255K->199509K(225508K), 0.2340940 secs]
3.922: [GC 225045K->220654K(246536K), 0.2004560 secs]
4.167: [GC 246190K->241712K(267564K), 0.2174240 secs]
4.413: [GC 260953K->258678K(284652K), 0.1834680 secs]
4.643: [GC 284214K->280544K(306500K), 0.1863710 secs]
4.875: [GC 306080K->302632K(328540K), 0.2439890 secs]
5.154: [GC 328168K->322831K(348700K), 0.2612770 secs]
5.466: [GC 348367K->343293K(369244K), 0.2788180 secs]
5.792: [GC 368829K->364678K(390708K), 0.1798730 secs]
6.041: [GC 390214K->384525K(410484K), 0.3553530 secs]
6.433: [GC 410061K->407069K(433076K), 0.1867020 secs]
6.674: [GC 432605K->426787K(452660K), 0.2499160 secs]
6.990: [GC 452323K->446685K(472628K), 0.2382520 secs]
7.286: [GC 472221K->469410K(495412K), 0.1840220 secs]
7.535: [GC 494946K->489187K(515188K), 0.2417590 secs]
7.824: [GC 514723K->508991K(534964K), 0.3047520 secs]
8.191: [GC 534527K->531743K(557748K), 0.1915090 secs]
8.432: [GC 557279K->551544K(577524K), 0.2455340 secs]
8.717: [GC 577080K->571347K(597300K), 0.2662670 secs]
9.041: [GC 596883K->590986K(616884K), 0.3078600 secs]
9.387: [GC 616522K->610759K(636660K), 0.2477850 secs]
9.681: [GC 636295K->630850K(656820K), 0.2933210 secs]
10.058: [GC 656386K->650558K(676596K), 0.2598230 secs]
10.358: [GC 676094K->670405K(696372K), 0.2759460 secs]
10.700: [GC 695941K->684807K(710772K), 0.1971690 secs]
10.997: [GC 710343K->699571K(725556K), 0.2304810 secs]
11.311: [GC 725107K->719359K(745332K), 0.2773610 secs]
11.641: [GC 744895K->727914K(753972K), 0.1247810 secs]
11.805: [GC 753450K->747722K(773748K), 0.2836790 secs]
12.126: [GC 773258K->758616K(784500K), 0.1650950 secs]
12.324: [GC 784152K->778468K(804468K), 0.2545320 secs]
12.633: [GC 804004K->782401K(808308K), 0.0671190 secs]
12.771: [GC 807937K->802212K(828084K), 0.2970790 secs]
13.173: [GC 827748K->814589K(840564K), 0.2099130 secs]
13.441: [GC 840125K->823249K(849204K), 0.1740190 secs]
13.658: [GC 848785K->843045K(868980K), 0.2976120 secs]
14.013: [GC 868581K->862611K(888564K), 0.3092290 secs]
14.372: [GC 888147K->875869K(901812K), 0.2172150 secs]
14.638: [GC 901405K->895647K(921588K), 0.2490900 secs]
14.935: [GC 921183K->900401K(926388K), 0.0942720 secs]
15.065: [GC 925937K->915760K(941748K), 0.2175890 secs]
15.320: [GC 941296K->932470K(958452K), 0.2360310 secs]
15.598: [GC 958006K->952356K(978420K), 0.2747150 secs]
15.914: [GC 977892K->956883K(982836K), 0.0838810 secs]
16.043: [GC 982419K->976619K(1002612K), 0.4235350 secs]
16.515: [GC 1002155K->996289K(1022388K), 0.2408460 secs]
16.799: [GC 1021825K->1005464K(1031412K), 0.1340470 secs]
16.982: [GC 1031000K->1025322K(1051380K), 0.2779850 secs]
17.308: [GC 1050858K->1045117K(1071156K), 0.2918470 secs]
17.639: [GC 1070653K->1059237K(1085364K), 0.1889160 secs]
17.880: [GC 1084773K->1079128K(1105140K), 0.3305490 secs]
18.252: [GC 1104664K->1087385K(1113396K), 0.1284090 secs]
18.431: [GC 1112921K->1103628K(1129716K), 0.2116250 secs]
