1.624: [GC 23872K->12674K(91520K), 0.0398960 secs]
2.193: [GC 36546K->20046K(115392K), 0.0370800 secs]
2.832: [GC 67790K->24490K(115392K), 0.0451300 secs]
3.289: [GC 72234K->22162K(163136K), 0.0180610 secs]
3.843: [GC 117650K->24114K(163136K), 0.0277590 secs]
4.182: [GC 119602K->27122K(268352K), 0.0363540 secs]
4.868: [GC 218098K->32243K(269440K), 0.0648650 secs]
5.668: [GC 223219K->36435K(459520K), 0.0816470 secs]
7.124: [GC 416467K->46026K(461440K), 0.1500440 secs]
8.520: [GC 426058K->56830K(544704K), 0.1700670 secs]
11.042: [GC 514878K->66930K(547328K), 0.2411410 secs]
11.284: [Full GC 66930K->52213K(586112K), 1.0872900 secs]
13.939: [GC 510261K->63381K(582336K), 0.1034130 secs]
15.716: [GC 522645K->80275K(584832K), 0.1823790 secs]
17.362: [GC 539539K->91457K(584832K), 0.2152430 secs]
18.935: [GC 546945K->102429K(569152K), 0.1539210 secs]
19.089: [Full GC 102429K->97939K(642944K), 2.4986140 secs]
23.058: [GC 553427K->109267K(658624K), 0.0982800 secs]
24.538: [GC 565843K->120435K(657536K), 0.1527240 secs]
26.119: [GC 577011K->134135K(644352K), 0.2257570 secs]
27.750: [GC 575031K->153043K(646016K), 0.2597290 secs]
29.390: [GC 593939K->163907K(635648K), 0.2193950 secs]
30.923: [GC 586115K->174202K(641984K), 0.2583810 secs]
31.181: [Full GC 174202K->165279K(739264K), 5.3390700 secs]
38.126: [GC 587487K->175839K(735936K), 0.1258310 secs]
39.717: [GC 600095K->185279K(738624K), 0.2218430 secs]
41.912: [GC 609535K->195903K(738944K), 0.3468030 secs]
61.636: [GC 622207K->210063K(741312K), 0.7560280 secs]
67.014: [GC 636367K->216175K(713792K), 0.6626000 secs]
70.150: [GC 614959K->221927K(727552K), 0.5298540 secs]
72.805: [GC 620711K->227687K(724096K), 0.4922300 secs]
75.536: [GC 623143K->233447K(713280K), 0.5214230 secs]
78.165: [GC 628903K->240327K(712256K), 0.5981840 secs]
80.765: [GC 618759K->246023K(708800K), 0.5921780 secs]
83.439: [GC 624455K->251591K(697536K), 0.6628840 secs]
85.980: [GC 604039K->256583K(693376K), 0.7311560 secs]
88.438: [GC 609031K->261766K(687808K), 0.7721330 secs]
90.937: [GC 590406K->267454K(660096K), 0.8297950 secs]
93.601: [GC 596094K->272406K(691072K), 0.6895590 secs]
95.644: [GC 598614K->277230K(649792K), 0.5283560 secs]
97.298: [GC 603438K->282050K(692480K), 0.4048560 secs]
99.004: [GC 612226K->287018K(688704K), 0.4399930 secs]
100.563: [GC 617194K->293226K(693312K), 0.3032380 secs]
100.866: [Full GC 293226K->249476K(794752K), 6.8698150 secs]
109.012: [GC 586692K->254564K(793024K), 0.0769090 secs]
110.273: [GC 591780K->259588K(799680K), 0.1147410 secs]
111.553: [GC 600772K->264804K(731520K), 0.1391170 secs]
112.852: [GC 605988K->270532K(802112K), 0.2268840 secs]
114.264: [GC 614852K->276900K(746752K), 0.2223800 secs]
115.683: [GC 621220K->282116K(801856K), 0.2486480 secs]
117.183: [GC 632644K->287236K(797568K), 0.2738010 secs]
119.927: [GC 637764K->294436K(805248K), 0.4198540 secs]
122.749: [GC 654564K->294756K(805952K), 0.2859950 secs]
124.688: [GC 654884K->294756K(812736K), 0.2985910 secs]
127.002: [GC 661156K->294756K(786688K), 0.3117870 secs]
129.186: [GC 661156K->294756K(813120K), 0.2885570 secs]
130.660: [GC 661604K->294788K(787200K), 0.2942090 secs]
132.146: [GC 661636K->294788K(813056K), 0.2954360 secs]
134.908: [GC 662532K->294788K(812352K), 0.2968330 secs]
136.397: [GC 662532K->294812K(810624K), 0.2878750 secs]
137.900: [GC 665628K->294820K(811840K), 0.2586200 secs]
140.720: [GC 665636K->294836K(816960K), 0.2341060 secs]
142.211: [GC 673780K->294868K(817280K), 0.2126470 secs]
143.674: [GC 673812K->294836K(819648K), 0.1626690 secs]
145.072: [GC 676212K->294828K(769088K), 0.1336130 secs]
146.627: [GC 676204K->294876K(817024K), 0.0993910 secs]
148.950: [GC 672028K->294900K(752640K), 0.0795110 secs]
151.829: [GC 672052K->294956K(815488K), 0.0418190 secs]
153.115: [GC 667884K->294900K(816064K), 0.0221340 secs]
154.338: [GC 667828K->294876K(814272K), 0.0223560 secs]
158.082: [GC 667932K->304228K(757440K), 0.1585370 secs]
160.570: [GC 677284K->312268K(819392K), 0.1799830 secs]
162.112: [GC 692364K->317908K(815104K), 0.1917330 secs]
163.609: [GC 698004K->323548K(817664K), 0.2286530 secs]
165.209: [GC 708764K->329156K(817344K), 0.2695290 secs]
166.801: [GC 714372K->334796K(819392K), 0.3612980 secs]
168.424: [GC 720524K->340372K(806272K), 0.3326600 secs]
170.124: [GC 726100K->345948K(807360K), 0.3755780 secs]
171.796: [GC 712220K->351332K(797760K), 0.4520920 secs]
173.500: [GC 717604K->356716K(793152K), 0.4387220 secs]
175.202: [GC 697260K->361748K(782400K), 0.4537740 secs]
176.890: [GC 702292K->366684K(778176K), 0.4774870 secs]
178.620: [GC 678428K->371084K(762944K), 0.5073370 secs]
180.286: [GC 682828K->375536K(770496K), 0.5282470 secs]
181.848: [GC 665008K->379848K(774336K), 0.5456810 secs]
183.386: [GC 669320K->384096K(766272K), 0.4488800 secs]
184.834: [GC 674336K->388256K(770688K), 0.4578050 secs]
186.490: [GC 678496K->392504K(772352K), 0.3661690 secs]
187.905: [GC 696248K->396960K(775040K), 0.3476270 secs]
188.255: [Full GC 396960K->307560K(845504K), 6.4744450 secs]
195.945: [GC 611304K->313544K(856256K), 0.0737950 secs]
197.172: [GC 630600K->318184K(858496K), 0.1152860 secs]
198.427: [GC 635240K->328872K(853760K), 0.1698000 secs]
199.730: [GC 645928K->341160K(856128K), 0.2026150 secs]
201.118: [GC 658216K->350376K(857280K), 0.2361480 secs]
202.533: [GC 677224K->360328K(857920K), 0.2914020 secs]
204.316: [GC 687176K->363136K(867904K), 0.2893620 secs]
205.701: [GC 700352K->363160K(827712K), 0.2481700 secs]
207.055: [GC 700376K->363192K(869632K), 0.2206090 secs]
208.388: [GC 704760K->363248K(866624K), 0.1758970 secs]
210.146: [GC 704816K->363264K(870848K), 0.1353570 secs]
211.405: [GC 709952K->363264K(871168K), 0.0877940 secs]
212.641: [GC 709952K->363264K(873792K), 0.0860950 secs]
213.888: [GC 714816K->363264K(874688K), 0.0915180 secs]
215.115: [GC 714816K->363264K(873984K), 0.0968340 secs]
216.619: [GC 718592K->363296K(875200K), 0.0896960 secs]
218.724: [GC 718624K->363680K(876416K), 0.1334740 secs]
221.381: [GC 726176K->371200K(877888K), 0.1860440 secs]
222.835: [GC 733696K->376512K(879680K), 0.2391760 secs]
224.350: [GC 749568K->382016K(881088K), 0.2408330 secs]
225.938: [GC 755072K->387456K(886080K), 0.2775190 secs]
227.528: [GC 772800K->392960K(889152K), 0.2855650 secs]
229.139: [GC 778304K->398632K(895872K), 0.3019760 secs]
230.734: [GC 792872K->404344K(880960K), 0.3549210 secs]
232.481: [GC 798584K->410088K(887808K), 0.3679530 secs]
234.192: [GC 793128K->415728K(881088K), 0.3916490 secs]
235.983: [GC 798768K->421208K(874816K), 0.4227470 secs]
237.623: [GC 782488K->426368K(869952K), 0.4635380 secs]
239.372: [GC 787648K->431560K(860352K), 0.4882940 secs]
241.068: [GC 765960K->436368K(839744K), 0.5146150 secs]
242.711: [GC 770768K->441264K(865536K), 0.4579100 secs]
244.378: [GC 771568K->446176K(823168K), 0.4253860 secs]
245.985: [GC 776480K->450936K(865152K), 0.3876830 secs]
247.499: [GC 784760K->455768K(861632K), 0.3560710 secs]
249.088: [GC 789592K->460616K(867840K), 0.3180910 secs]
249.406: [Full GC 460616K->345297K(926976K), 10.9486480 secs]
261.679: [GC 687569K->350385K(925696K), 0.1006090 secs]
263.009: [GC 692657K->355569K(931776K), 0.1283900 secs]
264.336: [GC 701489K->360593K(865792K), 0.1568880 secs]
265.729: [GC 706513K->365681K(933824K), 0.1806710 secs]
267.713: [GC 714545K->371953K(880128K), 0.3092540 secs]
269.216: [GC 720817K->373201K(933440K), 0.2014570 secs]
270.985: [GC 727953K->373201K(929728K), 0.2011780 secs]
272.735: [GC 727953K->373201K(939456K), 0.2003880 secs]
274.129: [GC 741073K->373201K(936320K), 0.1956580 secs]
275.520: [GC 741073K->373201K(946560K), 0.2134060 secs]
276.962: [GC 754257K->373233K(943872K), 0.1954060 secs]
278.472: [GC 754289K->373201K(952640K), 0.2294650 secs]
279.961: [GC 765521K->373233K(950400K), 0.1934860 secs]
281.478: [GC 765553K->373233K(957824K), 0.2218310 secs]
282.994: [GC 775153K->373201K(955904K), 0.1919900 secs]
284.722: [GC 775121K->373242K(961472K), 0.1993080 secs]
286.377: [GC 782522K->373274K(960704K), 0.1656880 secs]
289.196: [GC 782554K->373330K(965632K), 0.1494010 secs]
291.176: [GC 787538K->373314K(926336K), 0.1099620 secs]
292.779: [GC 787522K->373354K(962496K), 0.0819210 secs]
294.200: [GC 782890K->373277K(914240K), 0.0354120 secs]
295.758: [GC 782813K->373253K(962688K), 0.0420370 secs]
299.565: [GC 780613K->380277K(919040K), 0.1889510 secs]
303.233: [GC 787637K->390365K(964608K), 0.2093810 secs]
304.974: [GC 800989K->396397K(961536K), 0.2272140 secs]
306.683: [GC 807021K->402333K(962304K), 0.2788450 secs]
308.332: [GC 814301K->408421K(951744K), 0.3046770 secs]
310.096: [GC 820389K->414413K(953792K), 0.3473310 secs]
311.848: [GC 813069K->420117K(950080K), 0.3579060 secs]
313.633: [GC 818773K->425853K(939392K), 0.3952190 secs]
315.271: [GC 799549K->431301K(936320K), 0.4287200 secs]
317.131: [GC 804997K->436629K(923456K), 0.4538790 secs]
