0.769: [GC 23872K->8131K(91520K), 0.0137580 secs]
1.063: [GC 32003K->8584K(115392K), 0.0082080 secs]
1.347: [GC 56328K->9688K(115392K), 0.0096380 secs]
1.602: [GC 57432K->10860K(163136K), 0.0119430 secs]
1.894: [GC 106348K->14368K(163136K), 0.0149480 secs]
2.046: [GC 109856K->15624K(263104K), 0.0139640 secs]
2.405: [GC 206600K->20978K(263296K), 0.0545970 secs]
2.734: [GC 211954K->26978K(453120K), 0.0398080 secs]
3.366: [GC 405858K->37802K(456192K), 0.0584760 secs]
4.223: [GC 416682K->50682K(543360K), 0.0660720 secs]
5.120: [GC 511802K->64081K(548864K), 0.0859950 secs]
5.206: [Full GC 64081K->61558K(597248K), 0.6107570 secs]
6.501: [GC 522678K->80182K(594432K), 0.0615020 secs]
7.276: [GC 538742K->93838K(595968K), 0.0933100 secs]
7.965: [GC 552398K->105966K(586624K), 0.0992880 secs]
8.064: [Full GC 105966K->101510K(658240K), 1.1127880 secs]
9.862: [GC 550726K->115046K(662912K), 0.0535620 secs]
10.546: [GC 564262K->127366K(658496K), 0.0765270 secs]
11.338: [GC 573766K->151694K(661504K), 0.1367350 secs]
12.095: [GC 598094K->164733K(638336K), 0.1233470 secs]
12.926: [GC 587965K->176541K(644352K), 0.1078200 secs]
13.688: [GC 599773K->188333K(629952K), 0.1252800 secs]
14.473: [GC 587245K->200301K(617792K), 0.1671750 secs]
14.641: [Full GC 200301K->190996K(732480K), 3.0971040 secs]
19.629: [GC 589908K->202429K(753472K), 0.5026020 secs]
21.975: [GC 601341K->213661K(727296K), 0.3232230 secs]
24.267: [GC 612573K->224893K(747328K), 0.3880330 secs]
26.533: [GC 620605K->236061K(746496K), 0.5250330 secs]
28.926: [GC 631773K->247237K(723968K), 0.6235380 secs]
31.204: [GC 611717K->257693K(730816K), 0.6751260 secs]
34.028: [GC 622173K->290773K(682432K), 0.9141240 secs]
36.229: [GC 598037K->301197K(680384K), 0.5418550 secs]
37.974: [GC 608461K->310168K(691968K), 0.5061320 secs]
39.560: [GC 596696K->317560K(656704K), 0.4884520 secs]
41.141: [GC 604088K->326076K(691904K), 0.4586700 secs]
42.598: [GC 605948K->333260K(692928K), 0.4336060 secs]
44.115: [GC 613132K->341679K(689984K), 0.4617420 secs]
45.559: [GC 622063K->348891K(691712K), 0.3969160 secs]
45.956: [Full GC 348891K->330799K(826432K), 11.2621960 secs]
58.422: [GC 611183K->339478K(827776K), 0.5546160 secs]
60.007: [GC 626134K->347062K(826816K), 0.3038930 secs]
61.321: [GC 633718K->355958K(830016K), 0.4152860 secs]
62.829: [GC 654454K->364950K(830464K), 0.3895640 secs]
64.223: [GC 663446K->372830K(842752K), 0.4215270 secs]
65.835: [GC 685406K->382158K(842112K), 0.4537830 secs]
67.429: [GC 694734K->391462K(840320K), 0.5231580 secs]
69.084: [GC 701286K->399574K(820160K), 0.4764590 secs]
70.743: [GC 709398K->408878K(831488K), 0.5004250 secs]
72.307: [GC 704494K->417838K(815616K), 0.5944900 secs]
73.963: [GC 713454K->425309K(829760K), 0.5399570 secs]
75.587: [GC 710429K->433609K(787520K), 0.4809730 secs]
77.063: [GC 718729K->440860K(830592K), 0.4637840 secs]
78.754: [GC 729628K->449316K(827456K), 0.4058140 secs]
80.180: [GC 738084K->456772K(833472K), 0.3719660 secs]
81.676: [GC 753156K->465520K(832000K), 0.3622820 secs]
82.038: [Full GC 465520K->463817K(986176K), 5.1647090 secs]
88.471: [GC 760201K->473743K(990336K), 0.6672370 secs]
90.186: [GC 776079K->481451K(990720K), 0.2882020 secs]
91.631: [GC 783787K->490443K(991936K), 0.2913460 secs]
93.009: [GC 798219K->499723K(993472K), 0.3194970 secs]
94.532: [GC 807499K->507563K(995904K), 0.3554970 secs]
96.102: [GC 823659K->525850K(995840K), 0.4522690 secs]
98.202: [GC 841946K->568186K(966464K), 0.6271130 secs]
100.013: [GC 852410K->581322K(965120K), 0.5872830 secs]
101.744: [GC 865546K->589934K(967104K), 0.5426190 secs]
103.188: [GC 850862K->596497K(972352K), 0.5397800 secs]
104.761: [GC 857425K->603213K(963520K), 0.4782430 secs]
106.119: [GC 864397K->611089K(968064K), 0.4135780 secs]
106.532: [Full GC 611089K->577657K(1154304K), 16.1234230 secs]
123.758: [GC 838841K->584697K(1152704K), 0.2289210 secs]
124.908: [GC 842681K->592729K(1046592K), 0.1737430 secs]
125.987: [GC 850713K->599673K(1157568K), 0.2130670 secs]
127.134: [GC 857081K->606585K(1059840K), 0.2546420 secs]
128.311: [GC 863993K->614713K(1157824K), 0.2735830 secs]
129.528: [GC 877241K->621721K(1152704K), 0.3184310 secs]
130.824: [GC 884249K->629881K(1159552K), 0.3865420 secs]
132.239: [GC 905337K->637209K(1154880K), 0.4016320 secs]
133.610: [GC 912665K->645689K(1169216K), 0.4103320 secs]
135.153: [GC 937081K->653401K(1170560K), 0.4829650 secs]
136.924: [GC 944793K->662265K(1161728K), 0.7978930 secs]
139.069: [GC 941241K->669593K(1144448K), 0.8644180 secs]
141.298: [GC 948569K->678137K(1143104K), 0.9512870 secs]
143.609: [GC 925497K->684569K(1113024K), 0.8865550 secs]
145.809: [GC 931929K->692217K(1147584K), 0.9121270 secs]
148.025: [GC 931769K->698464K(1090624K), 0.8299300 secs]
150.007: [GC 938016K->704904K(1150720K), 0.8018440 secs]
151.865: [GC 950728K->712424K(1144768K), 0.6352440 secs]
153.629: [GC 958248K->718807K(1149568K), 0.6833230 secs]
155.448: [GC 973399K->725371K(1147392K), 0.6301560 secs]
157.348: [GC 979963K->733086K(1160704K), 0.4623170 secs]
158.955: [GC 1002078K->739962K(1160192K), 0.4891670 secs]
160.587: [GC 1008954K->748114K(1164480K), 0.4379160 secs]
162.298: [GC 1021394K->755178K(1069632K), 0.4437030 secs]
164.110: [GC 1028458K->763565K(1166016K), 0.4207350 secs]
165.664: [GC 1039149K->770705K(1072192K), 0.3931390 secs]
166.058: [Full GC 770705K->768928K(1276160K), 13.4836350 secs]
180.847: [GC 1044512K->777440K(1367744K), 0.2301570 secs]
182.373: [GC 1054816K->784800K(1367552K), 0.2657450 secs]
183.917: [GC 1062176K->793312K(1367808K), 0.3376320 secs]
185.628: [GC 1079584K->800832K(1369600K), 0.4498270 secs]
187.893: [GC 1087104K->809504K(1374336K), 0.4515560 secs]
189.676: [GC 1112672K->817472K(1375680K), 0.4867610 secs]
191.413: [GC 1120640K->826400K(1389888K), 0.5038860 secs]
193.256: [GC 1145568K->836032K(1363776K), 0.5628890 secs]
195.226: [GC 1155200K->845472K(1374464K), 0.6302940 secs]
197.143: [GC 1143520K->853248K(1359872K), 0.7017230 secs]
199.120: [GC 1151296K->862208K(1354048K), 0.7451860 secs]
200.965: [GC 1125184K->869020K(1332288K), 0.8175560 secs]
202.890: [GC 1131996K->876952K(1352000K), 0.8231570 secs]
204.731: [GC 1121496K->883263K(1354368K), 0.7460900 secs]
206.503: [GC 1127807K->889643K(1342016K), 0.6664290 secs]
208.213: [GC 1136363K->896999K(1348288K), 0.6513420 secs]
210.013: [GC 1143719K->903398K(1355648K), 0.5680160 secs]
211.933: [GC 1168998K->910234K(1360000K), 0.6055370 secs]
213.879: [GC 1175834K->918318K(1366016K), 0.3561140 secs]
215.293: [GC 1195182K->925405K(1368640K), 0.3085250 secs]
216.777: [GC 1202269K->933809K(1368640K), 0.2693520 secs]
218.237: [GC 1215025K->941061K(1370816K), 0.4091030 secs]
219.990: [GC 1222277K->949601K(1369088K), 0.4690500 secs]
221.775: [GC 1236641K->958088K(1371904K), 0.4052860 secs]
223.526: [GC 1245128K->965704K(1370368K), 0.4014720 secs]
225.354: [GC 1263240K->974664K(1374720K), 0.4766450 secs]
227.213: [GC 1272200K->982472K(1383808K), 0.5222230 secs]
229.200: [GC 1298056K->991848K(1384704K), 0.6451190 secs]
231.296: [GC 1307432K->1001136K(1391296K), 0.6708630 secs]
233.492: [GC 1322096K->1009292K(1358656K), 0.6862150 secs]
235.800: [GC 1330252K->1024596K(1386560K), 0.7203630 secs]
238.232: [GC 1338900K->1057860K(1384576K), 0.8334460 secs]
239.066: [Full GC 1057860K->1035163K(1425664K), 25.2968430 secs]
266.125: [GC 1349467K->1068617K(1398656K), 1.7846530 secs]
269.568: [GC 1346569K->1101081K(1412160K), 0.8148170 secs]
271.838: [GC 1379033K->1120153K(1338688K), 0.9566960 secs]
272.795: [Full GC 1120153K->1077853K(1338688K), 32.0071360 secs]
305.854: [Full GC 1282333K->1085362K(1338688K), 16.8058620 secs]
323.312: [Full GC 1220921K->1089415K(1338688K), 11.6976630 secs]
335.682: [Full GC 1220921K->1093396K(1338688K), 8.1566190 secs]
344.470: [Full GC 1220921K->1096228K(1338688K), 7.6081130 secs]
352.653: [Full GC 1220921K->1100037K(1338688K), 9.5528050 secs]
362.766: [Full GC 1220904K->1103759K(1338688K), 9.6069350 secs]
372.966: [Full GC 1220904K->1106378K(1338688K), 10.5771240 secs]
384.116: [Full GC 1220903K->1109984K(1338688K), 10.9729560 secs]
395.650: [Full GC 1220903K->1113514K(1338688K), 11.1663700 secs]
407.436: [Full GC 1220903K->1115912K(1338688K), 17.7193620 secs]
425.663: [Full GC 1220902K->1119017K(1338688K), 12.9851590 secs]
439.095: [Full GC 1220646K->1121295K(1338688K), 14.0691580 secs]
453.629: [Full GC 1220646K->1124549K(1338688K), 11.5053860 secs]
465.621: [Full GC 1220646K->1126695K(1338688K), 12.1273400 secs]
478.198: [Full GC 1220646K->1129826K(1338688K), 11.4848570 secs]
490.130: [Full GC 1220646K->1131844K(1338688K), 11.3298040 secs]
501.873: [Full GC 1220646K->1134855K(1338688K), 11.6275040 secs]
513.963: [Full GC 1220646K->1136780K(1338688K), 11.6948940 secs]
526.134: [Full GC 1220646K->1139690K(1338688K), 9.0810080 secs]
535.681: [Full GC 1220646K->1141502K(1338688K), 8.3241410 secs]
544.447: [Full GC 1220646K->1144295K(1338688K), 8.2226740 secs]
553.056: [Full GC 1220629K->1145991K(1338688K), 8.7560450 secs]
562.251: [Full GC 1220629K->1147655K(1338688K), 8.5152890 secs]
571.202: [Full GC 1220629K->1150339K(1338688K), 8.7528060 secs]
580.396: [Full GC 1220629K->1151892K(1338688K), 8.7648280 secs]
589.582: [Full GC 1220629K->1154478K(1338688K), 8.3778710 secs]
598.366: [Full GC 1220629K->1155964K(1338688K), 9.6976410 secs]
608.455: [Full GC 1220628K->1157405K(1338688K), 11.5272280 secs]
620.390: [Full GC 1220628K->1159853K(1338688K), 6.9541800 secs]
