1.756: [GC 23872K->14664K(91520K), 0.0311570 secs]
2.312: [GC 38536K->15056K(115392K), 0.0125070 secs]
2.911: [GC 62800K->15960K(115392K), 0.0350850 secs]
3.437: [GC 63704K->16892K(163136K), 0.0416070 secs]
4.214: [GC 112380K->18868K(163136K), 0.0362270 secs]
4.610: [GC 114356K->21861K(259712K), 0.0418710 secs]
5.257: [GC 211493K->26966K(261056K), 0.0602850 secs]
6.015: [GC 216598K->31262K(451584K), 0.0675510 secs]
7.708: [GC 408286K->40982K(453824K), 0.1243690 secs]
9.621: [GC 418006K->51070K(549248K), 0.1407780 secs]
11.491: [GC 518462K->61891K(552000K), 0.1761940 secs]
11.668: [Full GC 61891K->51935K(593856K), 1.5440140 secs]
15.115: [GC 519327K->63119K(592768K), 0.1182640 secs]
17.223: [GC 530831K->80091K(593472K), 0.3140110 secs]
19.588: [GC 547803K->91062K(586688K), 0.2421470 secs]
21.334: [GC 550902K->102070K(587584K), 0.2130260 secs]
23.269: [GC 561910K->111958K(575552K), 0.2741930 secs]
24.905: [GC 554774K->122334K(581568K), 0.2376080 secs]
25.143: [Full GC 122334K->117625K(663424K), 3.0416970 secs]
29.714: [GC 560441K->128532K(662208K), 0.2710420 secs]
31.672: [GC 571412K->151261K(662848K), 0.2669070 secs]
33.593: [GC 594141K->161772K(648512K), 0.3217230 secs]
35.405: [GC 589100K->171020K(649344K), 0.2499910 secs]
37.031: [GC 598348K->181388K(638400K), 0.2700780 secs]
39.151: [GC 587724K->191072K(645184K), 0.3976800 secs]
39.549: [Full GC 191072K->182022K(749120K), 7.3786390 secs]
48.123: [GC 588358K->190918K(748096K), 0.1008650 secs]
49.547: [GC 597510K->200998K(716928K), 0.1510580 secs]
51.017: [GC 607590K->211046K(747840K), 0.1891430 secs]
52.512: [GC 619174K->219878K(747968K), 0.2245170 secs]
53.971: [GC 628006K->229958K(736640K), 0.2703320 secs]
55.390: [GC 623622K->239718K(742720K), 0.3140850 secs]
56.914: [GC 633382K->248190K(705984K), 0.4311460 secs]
58.738: [GC 604990K->261822K(719616K), 0.7695790 secs]
61.643: [GC 618622K->289211K(673280K), 0.7311840 secs]
64.532: [GC 590203K->295730K(662528K), 0.7454360 secs]
66.379: [GC 596722K->302506K(687552K), 0.7151660 secs]
68.608: [GC 590698K->309897K(690048K), 0.5596550 secs]
70.487: [GC 598089K->316241K(678336K), 0.4756150 secs]
70.963: [Full GC 316241K->298777K(815104K), 11.7930320 secs]
84.300: [GC 588889K->305518K(821248K), 0.6333270 secs]
86.467: [GC 595630K->312174K(833280K), 0.2159080 secs]
87.883: [GC 613678K->319086K(752896K), 0.2350370 secs]
89.389: [GC 620590K->327118K(835264K), 0.2786850 secs]
90.845: [GC 633806K->334094K(830784K), 0.3245060 secs]
92.407: [GC 640782K->341070K(834368K), 0.3679220 secs]
93.998: [GC 656782K->348206K(831424K), 0.4238780 secs]
95.636: [GC 663918K->356558K(844096K), 0.4781570 secs]
97.490: [GC 685070K->363950K(824768K), 0.5580470 secs]
99.412: [GC 692462K->371382K(831168K), 0.6421030 secs]
101.393: [GC 679798K->379566K(818240K), 0.6119090 secs]
103.219: [GC 687982K->386582K(814336K), 0.6280060 secs]
105.001: [GC 665302K->392917K(787776K), 0.6826240 secs]
