2.155: [GC 23872K->12680K(91520K), 0.0310870 secs]
2.837: [GC 36552K->20068K(115392K), 0.0269800 secs]
3.930: [GC 67812K->17580K(115392K), 0.0134260 secs]
4.549: [GC 65324K->18636K(163136K), 0.0174120 secs]
5.122: [GC 114124K->20580K(163136K), 0.0325730 secs]
5.623: [GC 116068K->23588K(267456K), 0.0371350 secs]
7.050: [GC 214564K->29392K(268608K), 0.1394570 secs]
8.325: [GC 220368K->33616K(459072K), 0.0951070 secs]
11.776: [GC 413200K->43162K(461440K), 0.2278450 secs]
13.834: [GC 422746K->52814K(544960K), 0.1563440 secs]
16.503: [GC 510478K->63805K(547136K), 0.2572940 secs]
16.761: [Full GC 63805K->52534K(586368K), 1.5194180 secs]
20.524: [GC 510198K->63798K(582976K), 0.1191250 secs]
23.119: [GC 522806K->81023K(585088K), 0.2669210 secs]
25.587: [GC 540031K->91910K(584960K), 0.3009760 secs]
28.131: [GC 546886K->102898K(569152K), 0.2504250 secs]
28.382: [Full GC 102898K->98419K(644288K), 3.2326770 secs]
34.079: [GC 553395K->109651K(660096K), 0.1538360 secs]
36.701: [GC 565779K->120915K(659008K), 0.2430060 secs]
39.457: [GC 577043K->139133K(642560K), 0.3867200 secs]
42.326: [GC 576317K->153445K(642560K), 0.3682470 secs]
44.935: [GC 590629K->164293K(637888K), 0.3251890 secs]
47.638: [GC 585989K->174539K(643520K), 0.4309210 secs]
48.070: [Full GC 174539K->165625K(741632K), 6.3005360 secs]
56.550: [GC 587321K->176249K(738432K), 0.1858170 secs]
58.907: [GC 599609K->185689K(740864K), 0.2050840 secs]
61.435: [GC 609049K->196249K(741184K), 0.2269810 secs]
76.598: [GC 621657K->206201K(742208K), 0.3693560 secs]
79.391: [GC 631609K->212097K(720832K), 0.3439960 secs]
81.799: [GC 613569K->217857K(726592K), 0.3758800 secs]
84.795: [GC 619329K->223521K(710464K), 0.4027750 secs]
87.117: [GC 599009K->229985K(712768K), 0.4208240 secs]
89.448: [GC 605473K->235297K(692032K), 0.4847150 secs]
91.654: [GC 578529K->240161K(690688K), 0.4992520 secs]
94.260: [GC 583393K->244993K(677504K), 0.5817060 secs]
96.566: [GC 555073K->249409K(666752K), 0.5589480 secs]
98.671: [GC 559489K->253584K(668992K), 0.5801430 secs]
100.697: [GC 538704K->258580K(633536K), 0.5780710 secs]
102.949: [GC 543700K->262228K(675712K), 0.5721660 secs]
105.241: [GC 547668K->266284K(610752K), 0.5316800 secs]
107.191: [GC 551724K->270244K(669504K), 0.5068070 secs]
109.119: [GC 559012K->274348K(666176K), 0.3829470 secs]
111.241: [GC 563116K->278436K(680064K), 0.3915510 secs]
113.112: [GC 583396K->283791K(678528K), 0.3094130 secs]
113.422: [Full GC 283791K->231713K(763392K), 5.9245910 secs]
120.834: [GC 536673K->236033K(768192K), 0.0769370 secs]
122.750: [GC 547073K->240417K(770048K), 0.1203160 secs]
124.694: [GC 551457K->244769K(768704K), 0.1447160 secs]
126.704: [GC 558177K->249185K(770560K), 0.1822700 secs]
128.420: [GC 562593K->254657K(766976K), 0.2144140 secs]
130.601: [GC 574657K->259201K(769984K), 0.2469290 secs]
132.622: [GC 579201K->263969K(772800K), 0.3107000 secs]
134.812: [GC 600033K->268833K(776192K), 0.3461840 secs]
137.111: [GC 604897K->268801K(785280K), 0.3265100 secs]
138.794: [GC 622721K->268833K(788480K), 0.2744300 secs]
140.375: [GC 622753K->268801K(791360K), 0.3063490 secs]
141.835: [GC 633537K->268833K(794368K), 0.2732920 secs]
143.446: [GC 633569K->268833K(796736K), 0.3004250 secs]
145.020: [GC 643169K->268833K(799552K), 0.2792230 secs]
146.729: [GC 643169K->268833K(801536K), 0.2696140 secs]
148.372: [GC 651681K->268881K(804224K), 0.3018060 secs]
149.986: [GC 651729K->268889K(806848K), 0.2665730 secs]
151.505: [GC 659609K->268929K(808640K), 0.2296870 secs]
153.214: [GC 659649K->268921K(812800K), 0.2166240 secs]
154.706: [GC 664953K->268861K(813376K), 0.1547880 secs]
156.124: [GC 664893K->268909K(811904K), 0.1225000 secs]
157.489: [GC 662957K->268933K(760064K), 0.1016430 secs]
158.845: [GC 662981K->268941K(809536K), 0.0681180 secs]
160.140: [GC 658893K->268925K(751040K), 0.0278010 secs]
161.385: [GC 658877K->268933K(810752K), 0.0187990 secs]
162.840: [GC 658757K->269165K(751168K), 0.0465470 secs]
166.329: [GC 658989K->276949K(812160K), 0.1629150 secs]
169.111: [GC 669461K->282525K(767232K), 0.1630040 secs]
