2.566: [GC 23872K->8209K(91520K), 0.0220010 secs]
3.173: [GC 32081K->11993K(91520K), 0.0284640 secs]
3.541: [GC 35865K->10944K(91520K), 0.0115880 secs]
3.840: [GC 34816K->11528K(115392K), 0.0156380 secs]
4.285: [GC 59272K->12592K(115392K), 0.0238040 secs]
4.560: [GC 60336K->13841K(167360K), 0.0274810 secs]
5.185: [GC 109329K->17044K(167936K), 0.0539760 secs]
5.704: [GC 112532K->19460K(262784K), 0.0503340 secs]
7.022: [GC 209732K->25796K(263488K), 0.0849840 secs]
8.031: [GC 216068K->32000K(379392K), 0.0917040 secs]
9.908: [GC 335168K->39736K(380672K), 0.2090370 secs]
11.918: [GC 342904K->51606K(557120K), 0.1314230 secs]
15.129: [GC 531542K->64357K(556608K), 0.2171070 secs]
17.842: [GC 544293K->83875K(545216K), 0.4287980 secs]
18.271: [Full GC 83875K->73957K(598336K), 2.4212240 secs]
23.855: [GC 535077K->86938K(606528K), 0.2208960 secs]
27.225: [GC 548058K->100746K(597824K), 0.1898150 secs]
29.798: [GC 553674K->112817K(602432K), 0.4593570 secs]
32.876: [GC 565745K->126417K(596672K), 0.2054480 secs]
35.512: [GC 575121K->150841K(600320K), 0.4545490 secs]
35.968: [Full GC 150841K->141385K(684672K), 5.5587470 secs]
43.713: [GC 590089K->155221K(664064K), 0.3689080 secs]
46.707: [GC 583317K->167157K(665600K), 0.2518830 secs]
49.318: [GC 595253K->179093K(658176K), 0.2937620 secs]
52.208: [GC 588117K->190212K(650176K), 0.3825860 secs]
54.900: [GC 599236K->202852K(649920K), 0.3302330 secs]
57.229: [GC 594724K->213972K(656256K), 0.4071500 secs]
59.675: [GC 605844K->224768K(632960K), 0.2695870 secs]
59.945: [Full GC 224768K->223394K(742976K), 1.1285920 secs]
61.849: [GC 591970K->235036K(754624K), 0.1727140 secs]
62.789: [GC 603612K->245660K(750656K), 0.0981260 secs]
63.701: [GC 617948K->256380K(754496K), 0.1274190 secs]
64.691: [GC 628668K->287723K(726144K), 0.1958760 secs]
65.639: [GC 628011K->300312K(730112K), 0.1997890 secs]
66.834: [GC 640600K->310156K(713152K), 0.2056460 secs]
68.008: [GC 614476K->318103K(705792K), 0.3432020 secs]
69.118: [GC 622423K->326855K(708032K), 0.2772920 secs]
69.989: [GC 607623K->335098K(645312K), 0.2439240 secs]
70.233: [Full GC 335098K->317387K(784000K), 5.4521780 secs]
76.432: [GC 598155K->324908K(844672K), 0.1835410 secs]
77.217: [GC 606636K->333580K(846400K), 0.0920420 secs]
77.910: [GC 615308K->341100K(846656K), 0.0765750 secs]
78.586: [GC 630956K->349932K(850304K), 0.1157350 secs]
79.307: [GC 639788K->357708K(847040K), 0.1393680 secs]
80.317: [GC 659724K->366828K(851712K), 0.1328620 secs]
81.405: [GC 668844K->375916K(868032K), 0.1451010 secs]
82.291: [GC 696364K->384332K(842752K), 0.1786650 secs]
83.173: [GC 704780K->393836K(852928K), 0.2000710 secs]
84.022: [GC 694188K->402924K(841280K), 0.2096580 secs]
84.858: [GC 703276K->410844K(832704K), 0.2184290 secs]
85.622: [GC 676508K->419140K(822144K), 0.2408460 secs]
86.421: [GC 684804K->426212K(816448K), 0.5231280 secs]
88.702: [GC 656420K->433316K(777280K), 0.5833280 secs]
91.136: [GC 663524K->439351K(823808K), 0.5277900 secs]
93.318: [GC 666679K->445247K(752192K), 0.4649260 secs]
95.349: [GC 672575K->451222K(819200K), 0.4380720 secs]
97.335: [GC 682966K->458458K(814784K), 0.3779410 secs]
98.883: [GC 690202K->464522K(829376K), 0.3098420 secs]
99.193: [Full GC 464522K->463075K(985920K), 4.5162730 secs]
104.996: [GC 712035K->470430K(984512K), 0.5257710 secs]
107.137: [GC 719390K->478234K(992960K), 0.1405420 secs]
108.647: [GC 732954K->485018K(891776K), 0.1649520 secs]
110.666: [GC 739738K->491994K(994624K), 0.2031810 secs]
112.864: [GC 750746K->500154K(910976K), 0.2760230 secs]
114.940: [GC 758906K->507098K(996160K), 0.2632870 secs]
117.067: [GC 776922K->518490K(989760K), 0.3222230 secs]
119.853: [GC 788314K->558714K(988032K), 0.4767360 secs]
122.432: [GC 828986K->574938K(997312K), 0.5253210 secs]
124.960: [GC 845210K->586298K(937792K), 0.5880240 secs]
126.526: [GC 790266K->591801K(940288K), 0.5706860 secs]
129.066: [GC 795769K->597352K(946112K), 0.6099110 secs]
130.545: [GC 767144K->602008K(950464K), 1.1041610 secs]
132.495: [GC 771800K->606716K(950464K), 0.5335190 secs]
133.859: [GC 776508K->611383K(870528K), 0.4798850 secs]
135.547: [GC 781175K->616219K(950784K), 0.4507010 secs]
135.998: [Full GC 616219K->582598K(1110016K), 20.4651830 secs]
157.708: [GC 753606K->587654K(1108800K), 0.0896900 secs]
158.611: [GC 758662K->592646K(1109696K), 0.1135590 secs]
159.527: [GC 762438K->597638K(1109696K), 0.1713880 secs]
160.501: [GC 767430K->602510K(1105728K), 0.2017860 secs]
161.954: [GC 772302K->606350K(1107712K), 0.1595170 secs]
163.439: [GC 776142K->611310K(1102144K), 0.1817600 secs]
164.474: [GC 789678K->616494K(1105600K), 0.2038640 secs]
166.003: [GC 794862K->621678K(1096960K), 0.2209460 secs]
167.370: [GC 814510K->627182K(1105152K), 0.2501410 secs]
168.539: [GC 820014K->632654K(1097728K), 0.3197430 secs]
169.860: [GC 842510K->639662K(1105152K), 0.3157320 secs]
171.291: [GC 849518K->645550K(1113344K), 0.3368240 secs]
172.758: [GC 874926K->651886K(1116032K), 0.3496850 secs]
174.205: [GC 881262K->658222K(1135808K), 0.3942160 secs]
175.788: [GC 908014K->666046K(1137088K), 0.4208950 secs]
177.390: [GC 915838K->672761K(1157504K), 0.4293350 secs]
179.948: [GC 941369K->679837K(1116416K), 0.4376380 secs]
181.829: [GC 948445K->688237K(1152384K), 0.4723400 secs]
184.191: [GC 948525K->695161K(1114688K), 0.4806980 secs]
186.012: [GC 955449K->703477K(1147072K), 0.9555550 secs]
188.392: [GC 953525K->710045K(1103808K), 0.4985710 secs]
190.158: [GC 960093K->717688K(1151424K), 0.4911910 secs]
192.787: [GC 969016K->724256K(1095104K), 0.4661470 secs]
195.120: [GC 975584K->731000K(1149056K), 0.4238730 secs]
197.237: [GC 985912K->738864K(1145472K), 0.4435030 secs]
199.251: [GC 993776K->745652K(1155328K), 0.4388500 secs]
200.970: [GC 1013684K->753904K(1152192K), 0.4466410 secs]
203.577: [GC 1021936K->760911K(1162624K), 0.4794640 secs]
205.793: [GC 1041871K->769475K(1159872K), 0.4491980 secs]
208.101: [GC 1050435K->776963K(1165120K), 0.4420320 secs]
210.081: [GC 1065155K->785795K(1165952K), 0.4705860 secs]
212.673: [GC 1073987K->793443K(1156864K), 0.5340530 secs]
214.825: [GC 1068835K->801891K(1153920K), 0.5454820 secs]
216.727: [GC 1077283K->809063K(1143936K), 0.5959540 secs]
218.603: [GC 1058343K->816915K(1127872K), 0.6528780 secs]
220.443: [GC 1066195K->823382K(1143552K), 0.5831550 secs]
222.222: [GC 1062038K->829586K(1100928K), 0.5564660 secs]
223.969: [GC 1068242K->836958K(1145728K), 0.5368010 secs]
224.506: [Full GC 836958K->833619K(1330368K), 10.8428540 secs]
237.070: [GC 1076819K->841815K(1326400K), 1.0528630 secs]
239.995: [GC 1085015K->848154K(1331520K), 0.3942360 secs]
241.579: [GC 1095898K->855786K(1332288K), 0.3709130 secs]
243.160: [GC 1103530K->862486K(1331712K), 0.3632190 secs]
244.725: [GC 1112726K->869154K(1333184K), 0.3752660 secs]
246.289: [GC 1119394K->876894K(1331328K), 0.3811790 secs]
247.871: [GC 1131742K->883625K(1333440K), 0.3914550 secs]
249.477: [GC 1138473K->890449K(1334464K), 0.4221400 secs]
251.211: [GC 1155089K->898349K(1336960K), 0.4649460 secs]
253.012: [GC 1162989K->905201K(1343808K), 0.4011280 secs]
