2.328: [GC 23872K->10536K(91520K), 0.0267370 secs]
2.872: [GC 34408K->10928K(115392K), 0.0151460 secs]
3.577: [GC 58672K->11896K(115392K), 0.0220100 secs]
4.043: [GC 59640K->12792K(163136K), 0.0459560 secs]
4.697: [GC 108280K->14784K(163136K), 0.0319750 secs]
5.646: [GC 110272K->17781K(259776K), 0.0432890 secs]
7.909: [GC 207413K->22914K(261120K), 0.0640520 secs]
8.978: [GC 212546K->27290K(451584K), 0.0666040 secs]
10.930: [GC 404250K->36706K(453888K), 0.1184200 secs]
15.194: [GC 413666K->46646K(549376K), 0.1322460 secs]
17.438: [GC 514166K->57537K(552064K), 0.1595600 secs]
19.621: [GC 525057K->68605K(551168K), 0.1708560 secs]
19.793: [Full GC 68605K->62789K(601472K), 1.2607970 secs]
24.629: [GC 530565K->80134K(599168K), 0.1257780 secs]
26.751: [GC 547910K->91318K(589760K), 0.1697470 secs]
28.852: [GC 544886K->101949K(595392K), 0.1917120 secs]
30.981: [GC 555517K->112729K(591232K), 0.1856070 secs]
31.167: [Full GC 112729K->108265K(665024K), 2.5613440 secs]
35.667: [GC 563305K->119305K(667840K), 0.1016610 secs]
39.141: [GC 574345K->129897K(668224K), 0.1540500 secs]
42.456: [GC 586537K->151644K(670720K), 0.2451660 secs]
45.881: [GC 608284K->162760K(651648K), 0.2650950 secs]
48.023: [GC 600328K->173416K(656064K), 0.1921460 secs]
50.660: [GC 610984K->184056K(644480K), 0.3976160 secs]
53.322: [GC 601528K->192956K(634752K), 0.4858760 secs]
53.809: [Full GC 192956K->183929K(738048K), 7.5350460 secs]
63.606: [GC 601401K->194041K(754240K), 0.1215670 secs]
66.199: [GC 610425K->203129K(726720K), 0.2692220 secs]
69.125: [GC 619513K->213305K(749760K), 0.2332340 secs]
71.661: [GC 628473K->223513K(750976K), 0.4484820 secs]
74.292: [GC 638681K->233697K(736192K), 0.4087510 secs]
76.807: [GC 629537K->242273K(743616K), 0.4531820 secs]
79.399: [GC 638113K->251969K(705344K), 0.5165860 secs]
82.039: [GC 609537K->280728K(715776K), 0.6475490 secs]
84.546: [GC 638296K->292604K(700864K), 0.5529220 secs]
86.682: [GC 618044K->299784K(683328K), 0.4853010 secs]
88.675: [GC 625224K->306884K(703808K), 0.4638550 secs]
90.630: [GC 622788K->313731K(629696K), 0.3326100 secs]
90.963: [Full GC 313731K->296533K(771904K), 10.0615710 secs]
102.733: [GC 612437K->304935K(844864K), 0.5288160 secs]
104.700: [GC 620903K->312103K(844800K), 0.2812130 secs]
106.426: [GC 628071K->319335K(843392K), 0.1809430 secs]
108.062: [GC 641127K->327751K(844864K), 0.2883530 secs]
110.068: [GC 649543K->335047K(851328K), 0.3287850 secs]
112.165: [GC 670663K->342599K(850688K), 0.3551450 secs]
115.125: [GC 678215K->351335K(856384K), 0.4025770 secs]
117.211: [GC 692647K->359015K(839360K), 0.5561890 secs]
119.526: [GC 700327K->366695K(841280K), 0.5068760 secs]
121.766: [GC 685095K->375079K(830976K), 0.5071220 secs]
123.906: [GC 693479K->382087K(829248K), 0.5570670 secs]
126.027: [GC 674247K->388770K(803200K), 0.5645040 secs]
127.971: [GC 680930K->395298K(831104K), 0.5511140 secs]
129.790: [GC 679778K->402902K(779648K), 0.5213780 secs]
131.593: [GC 687382K->409173K(832064K), 0.4457730 secs]
133.561: [GC 698325K->415557K(827392K), 0.3944810 secs]
135.443: [GC 704709K->422045K(833216K), 0.3464210 secs]
137.305: [GC 719773K->428556K(831680K), 0.3061880 secs]
139.079: [GC 726284K->436432K(841984K), 0.3085620 secs]
139.388: [Full GC 436432K->435252K(996288K), 5.5668710 secs]
146.470: [GC 744564K->442343K(995520K), 0.5980000 secs]
148.634: [GC 751655K->449407K(998976K), 0.1783150 secs]
150.576: [GC 760639K->456543K(921472K), 0.2230950 secs]
152.386: [GC 767775K->464735K(999808K), 0.2664150 secs]
154.085: [GC 780255K->471903K(995520K), 0.2832050 secs]
155.986: [GC 787423K->478975K(998656K), 0.3293000 secs]
158.076: [GC 803007K->487455K(996288K), 0.3991040 secs]
160.243: [GC 811487K->494815K(1006720K), 0.4447270 secs]
162.593: [GC 828447K->508327K(995392K), 0.5073170 secs]
164.830: [GC 841959K->539967K(968192K), 0.6839370 secs]
167.129: [GC 824959K->565643K(979968K), 0.7362210 secs]
169.252: [GC 850635K->571962K(945408K), 0.6924940 secs]
171.117: [GC 811386K->577486K(917184K), 0.6364130 secs]
172.991: [GC 816910K->582822K(961152K), 0.5498880 secs]
174.871: [GC 817510K->588313K(872576K), 0.5055500 secs]
176.720: [GC 823001K->593645K(954880K), 0.4914740 secs]
177.212: [Full GC 593645K->560525K(1117312K), 18.2630300 secs]
196.538: [GC 795085K->565069K(1117440K), 0.1328920 secs]
197.707: [GC 799629K->570637K(1126464K), 0.1795660 secs]
198.984: [GC 812173K->576429K(1008256K), 0.1913940 secs]
200.296: [GC 817965K->582157K(1127488K), 0.2142700 secs]
201.609: [GC 827981K->588013K(1123200K), 0.2512200 secs]
203.173: [GC 833837K->593869K(1127040K), 0.2855960 secs]
204.634: [GC 852045K->599917K(1123648K), 0.3146250 secs]
206.116: [GC 858093K->607181K(1136640K), 0.3921260 secs]
207.868: [GC 888205K->613709K(1134912K), 0.4137980 secs]
209.877: [GC 894733K->620237K(1152832K), 0.5007670 secs]
211.976: [GC 921101K->627149K(1153280K), 0.4768090 secs]
213.967: [GC 928013K->633976K(1156032K), 0.4721440 secs]
215.888: [GC 936760K->641964K(1119360K), 0.5112180 secs]
217.802: [GC 944748K->648824K(1153856K), 0.5212200 secs]
219.917: [GC 947640K->655580K(1117568K), 0.5207610 secs]
222.133: [GC 954396K->662360K(1152960K), 0.5162780 secs]
224.235: [GC 958616K->669100K(1116736K), 0.5204520 secs]
226.348: [GC 965356K->676840K(1152768K), 0.5236410 secs]
228.451: [GC 971944K->683531K(1152960K), 0.5421600 secs]
230.324: [GC 978635K->690215K(1152256K), 0.5527310 secs]
232.460: [GC 985447K->696727K(1109824K), 0.5435540 secs]
234.431: [GC 991959K->703231K(1153920K), 0.5511260 secs]
236.385: [GC 1003071K->711074K(1150464K), 0.4788090 secs]
238.392: [GC 1010914K->717682K(1155456K), 0.4450220 secs]
240.244: [GC 1024754K->724482K(1154496K), 0.4094830 secs]
242.359: [GC 1031554K->731438K(1162560K), 0.3986170 secs]
244.498: [GC 1047278K->739654K(1162176K), 0.3636010 secs]
246.453: [GC 1055494K->746645K(1162816K), 0.3817190 secs]
248.322: [GC 1066069K->753825K(1162560K), 0.3662390 secs]
250.124: [GC 1073249K->762137K(1165184K), 0.3714360 secs]
