0.192: [GC 21918K->19883K(91520K), 0.1269440 secs]
0.491: [GC 43755K->38357K(115392K), 0.1656480 secs]
0.789: [GC 86101K->75349K(123264K), 0.2691350 secs]
1.059: [Full GC 75349K->75215K(197312K), 0.8278800 secs]
1.945: [GC 122959K->112079K(221568K), 0.2960940 secs]
2.241: [Full GC 112079K->111979K(289088K), 0.9995620 secs]
3.338: [GC 183979K->167507K(312576K), 0.3775260 secs]
3.716: [Full GC 167507K->167359K(402240K), 1.3736420 secs]
5.221: [GC 257354K->240986K(460032K), 0.3491550 secs]
5.686: [GC 325082K->298677K(477248K), 0.5787130 secs]
6.374: [GC 382699K->370997K(516672K), 0.6847290 secs]
7.059: [Full GC 370997K->353144K(684608K), 3.5869130 secs]
10.757: [GC 432646K->417445K(723968K), 1.2613870 secs]
12.161: [GC 501797K->487412K(749632K), 0.8103790 secs]
13.168: [GC-- 596596K->726347K(762112K), 1.6604490 secs]
14.829: [Full GC 726347K->483198K(961088K), 5.7296700 secs]
20.775: [Full GC 592382K->622755K(1138496K), 6.1278420 secs]
27.158: [GC 731939K->658243K(1138496K), 0.2218780 secs]
27.542: [GC 767427K->651979K(1171200K), 0.1758680 secs]
27.942: [GC 793867K->651387K(1171200K), 0.1794250 secs]
28.332: [GC 793275K->651155K(1199104K), 0.1893820 secs]
28.803: [GC 820947K->653915K(1060032K), 0.2098300 secs]
29.305: [GC 823707K->657595K(1200960K), 0.3059930 secs]
29.964: [GC 834235K->648539K(1194112K), 0.3999990 secs]
31.490: [GC 825179K->653979K(1204480K), 0.3109470 secs]
32.358: [GC 847067K->635099K(1198784K), 0.1404430 secs]
32.763: [GC 828187K->654907K(1215424K), 0.2181140 secs]
33.278: [GC 873531K->640379K(1213888K), 0.1106180 secs]
33.702: [GC 859003K->645499K(1227520K), 0.1317650 secs]
34.159: [GC 887483K->650875K(1227200K), 0.1763320 secs]
34.650: [GC 892859K->656123K(1235776K), 0.2123610 secs]
35.415: [GC 920571K->660475K(1236096K), 0.2185110 secs]
35.962: [GC 924923K->666171K(1251904K), 0.2040550 secs]
36.545: [GC 956475K->653659K(1249856K), 0.1782390 secs]
37.082: [GC 943963K->660603K(1263168K), 0.2001690 secs]
37.682: [GC 973563K->647515K(1262016K), 0.1314660 secs]
38.195: [GC 960475K->653587K(1275328K), 0.1492370 secs]
38.805: [GC 986771K->655955K(1275328K), 0.1672120 secs]
39.461: [GC 989139K->659163K(1282112K), 0.1861830 secs]
40.066: [GC 1007451K->655659K(1282112K), 0.1911050 secs]
40.691: [GC 1003947K->651475K(1292224K), 0.1580840 secs]
41.314: [GC 1014611K->642651K(1291328K), 0.1162150 secs]
41.895: [GC 1005787K->651827K(1296512K), 0.1720130 secs]
42.523: [GC 1024627K->630395K(1297536K), 0.0557520 secs]
43.144: [GC 1003195K->792531K(1207104K), 1.1540050 secs]
44.654: [GC 1073811K->900963K(1254848K), 1.0836930 secs]
45.738: [Full GC 900963K->511241K(1181440K), 7.7531090 secs]
54.125: [GC 792521K->620681K(1079168K), 1.0049460 secs]
55.543: [GC 799689K->668905K(1122880K), 1.4184790 secs]
57.401: [GC 847913K->698945K(1125696K), 1.4271330 secs]
59.339: [GC 868737K->756129K(1125696K), 1.9889010 secs]
61.683: [GC 925921K->795569K(1125696K), 1.4430820 secs]
63.428: [GC 965361K->817233K(1125696K), 1.3275550 secs]
65.048: [GC 987025K->821105K(1125696K), 1.2433720 secs]
66.677: [GC 990897K->807441K(1125696K), 0.9844450 secs]
67.950: [GC 977233K->794009K(1125696K), 0.9679210 secs]
69.198: [GC 963801K->816065K(1125696K), 0.8118470 secs]
70.010: [Full GC 816065K->632297K(1283520K), 9.0772400 secs]
79.462: [GC 802089K->651337K(1283520K), 0.1458780 secs]
79.888: [GC 821129K->656233K(1283520K), 0.1860990 secs]
80.341: [GC 826025K->660585K(1283520K), 0.1928930 secs]
80.815: [GC 830377K->664361K(1283520K), 0.2169280 secs]
81.306: [GC 834153K->668193K(1283520K), 0.2324780 secs]
81.825: [GC 837985K->654409K(1283520K), 0.2125260 secs]
82.302: [GC 824201K->658553K(1283520K), 0.2027170 secs]
82.779: [GC 828345K->645217K(1283520K), 0.1221150 secs]
83.224: [GC 815009K->648753K(1283520K), 0.1112680 secs]
83.731: [GC 818545K->653345K(1283520K), 0.1616730 secs]
84.156: [GC 823137K->639921K(1283520K), 0.0851620 secs]
84.558: [GC 809713K->661697K(1283520K), 0.2317960 secs]
85.061: [GC 831489K->647441K(1283520K), 0.1170940 secs]
85.456: [GC 817233K->651233K(1283520K), 0.1446970 secs]
85.859: [GC 821025K->655473K(1274944K), 0.1760740 secs]
86.306: [GC 825265K->660273K(1279232K), 0.2066890 secs]
86.791: [GC 830065K->664433K(1263936K), 0.2201010 secs]
87.366: [GC 848433K->661361K(1272896K), 0.2021460 secs]
87.873: [GC 845361K->640433K(1267712K), 0.0869050 secs]
88.310: [GC 838641K->648817K(1273472K), 0.1305990 secs]
88.779: [GC 847025K->655825K(1267328K), 0.1940600 secs]
89.339: [GC 869137K->656945K(1274560K), 0.2008210 secs]
89.885: [GC 870257K->659313K(1269760K), 0.1968730 secs]
90.458: [GC 889201K->654897K(1276736K), 0.1723590 secs]
90.982: [GC 884785K->669649K(1281792K), 0.2472230 secs]
91.714: [GC 917777K->661361K(1285184K), 0.1779860 secs]
92.289: [GC 909489K->672049K(1295872K), 0.3525900 secs]
93.091: [GC 940273K->753545K(1297024K), 1.0786280 secs]
94.583: [GC 1021769K->889657K(1226432K), 1.6967510 secs]
96.628: [GC 1059449K->948289K(1283520K), 1.1492250 secs]
98.043: [GC 1118081K->1007793K(1283520K), 1.7751090 secs]
100.254: [GC 1177585K->1011801K(1283520K), 1.1082260 secs]
101.650: [GC 1181593K->1015585K(1283520K), 1.0599340 secs]
103.001: [GC 1185377K->1020065K(1283520K), 1.1573750 secs]
104.524: [GC 1189857K->1024169K(1283520K), 1.1336930 secs]
105.948: [GC 1193961K->1028249K(1283520K), 1.0894110 secs]
107.037: [Full GC 1028249K->629720K(1313088K), 9.0380420 secs]
116.554: [GC 799512K->699768K(1313088K), 0.6273780 secs]
117.428: [GC 869560K->794616K(1313088K), 1.4226130 secs]
119.119: [GC 964408K->834352K(1313088K), 1.5801110 secs]
121.081: [GC 1004144K->839192K(1313088K), 1.3961270 secs]
122.778: [GC 1008984K->844008K(1313088K), 0.6512340 secs]
123.729: [GC 1013800K->848728K(1313088K), 0.2525410 secs]
124.317: [GC 1018520K->834504K(1313088K), 0.1866890 secs]
124.805: [GC 1004296K->821016K(1313088K), 0.0950140 secs]
125.164: [GC 990808K->844104K(1313088K), 0.2474250 secs]
125.698: [GC 1013896K->829488K(1313088K), 0.1305440 secs]
126.090: [GC 999280K->833856K(1313088K), 0.1874070 secs]
126.553: [GC 1003648K->819944K(1313088K), 0.0854870 secs]
126.904: [GC 989736K->843000K(1313088K), 0.2268230 secs]
127.425: [GC 1012792K->847808K(1313088K), 0.2478150 secs]
127.933: [GC 1017600K->833456K(1313088K), 0.1729370 secs]
128.423: [GC 1003248K->837944K(1313088K), 0.1900770 secs]
128.871: [GC 1007736K->860552K(1313088K), 0.3340720 secs]
129.495: [GC 1030344K->846264K(1176832K), 0.2548800 secs]
130.056: [GC 1016056K->831784K(1318016K), 0.2145600 secs]
130.576: [GC 1008488K->841200K(1178624K), 0.2405330 secs]
131.134: [GC 1017904K->850528K(1309760K), 0.2457920 secs]
131.698: [GC 1041056K->834608K(1306432K), 0.2713050 secs]
132.434: [GC 1025136K->836864K(1304128K), 0.2304920 secs]
133.035: [GC 1045312K->834496K(1311424K), 0.1904410 secs]
133.637: [GC 1042944K->832608K(1312768K), 0.2239250 secs]
134.287: [GC 1059872K->827072K(1318656K), 0.1672460 secs]
134.872: [GC 1054336K->839616K(1320832K), 0.2721240 secs]
135.638: [GC 1086912K->849664K(1327360K), 0.3366800 secs]
136.470: [GC 1096960K->841472K(1331584K), 0.2910620 secs]
137.251: [GC 1110784K->850688K(1337536K), 0.2253660 secs]
137.830: [GC 1120000K->858688K(1354944K), 0.2233760 secs]
138.425: [GC 1151680K->904416K(1355776K), 0.7756360 secs]
139.573: [GC 1197408K->1003744K(1281088K), 1.5334160 secs]
141.395: [GC 1206432K->1087048K(1329536K), 0.8247250 secs]
142.220: [Full GC 1087048K->509153K(1218496K), 7.4967860 secs]
150.071: [GC 711841K->569345K(1185600K), 0.5443180 secs]
150.843: [GC 739137K->610273K(1202048K), 0.7700360 secs]
151.895: [GC 780065K->651041K(1202048K), 0.9472980 secs]
153.197: [GC 820833K->655393K(1202048K), 1.4258640 secs]
155.052: [GC 825185K->659409K(1202048K), 1.3934020 secs]
156.796: [GC 829201K->646001K(1202048K), 0.4415440 secs]
157.520: [GC 815793K->687169K(1202048K), 0.5181490 secs]
158.409: [GC 856961K->727289K(1202048K), 0.9535620 secs]
159.682: [GC 897081K->768297K(1202048K), 1.0875080 secs]
161.066: [GC 938089K->845033K(1119936K), 1.5330730 secs]
162.989: [GC 1014825K->849465K(1203392K), 0.9171680 secs]
163.907: [Full GC 849465K->635295K(1359424K), 9.6734220 secs]
174.041: [GC 808031K->676575K(1232576K), 0.3412040 secs]
174.709: [GC 849311K->664191K(1357952K), 0.3001990 secs]
175.302: [GC 843071K->657327K(1355008K), 0.2126360 secs]
175.822: [GC 836207K->668247K(1365056K), 0.2938690 secs]
176.466: [GC 864599K->655367K(1364864K), 0.1916380 secs]
177.010: [GC 851719K->661495K(1371520K), 0.2721910 secs]
177.762: [GC 874039K->661543K(1372992K), 0.3014540 secs]
178.406: [GC 874087K->662231K(1378816K), 0.2207760 secs]
179.058: [GC 892823K->641599K(1380544K), 0.0958210 secs]
179.607: [GC 872191K->657215K(1385664K), 0.2210120 secs]
180.297: [GC 905535K->648831K(1390976K), 0.1541410 secs]
180.943: [GC 897151K->641887K(1396224K), 0.0973390 secs]
181.559: [GC 906911K->684159K(1400640K), 0.4272910 secs]
182.591: [GC 949183K->653855K(1399232K), 0.1947530 secs]
183.271: [GC 931871K->670239K(1405760K), 0.3114040 secs]
184.098: [GC 948255K->666335K(1406528K), 0.2627600 secs]
184.922: [GC 964319K->659935K(1412288K), 0.2469350 secs]
185.742: [GC 957919K->670975K(1421376K), 0.2738350 secs]
186.657: [GC 993407K->667263K(1427264K), 0.2719820 secs]
187.487: [GC 989695K->662815K(1432960K), 0.2694070 secs]
188.316: [GC 1004639K->656095K(1437632K), 0.2042960 secs]
189.148: [GC 997919K->738775K(1408384K), 0.8827510 secs]
190.667: [GC 1053847K->892415K(1430720K), 1.7986620 secs]
193.022: [GC 1207487K->1026503K(1285440K), 1.9112940 secs]
194.935: [Full GC 1026503K->625949K(1285440K), 10.2759310 secs]
205.641: [GC 795741K->637821K(1358080K), 0.1438000 secs]
206.061: [GC 807613K->660221K(1358080K), 0.3029750 secs]
206.710: [GC 830013K->646717K(1358080K), 0.2339740 secs]
207.250: [GC 816509K->687485K(1358080K), 0.6292100 secs]
208.209: [GC 857277K->745821K(1358080K), 1.2052610 secs]
209.864: [GC 915613K->786589K(1358080K), 1.4594020 secs]
211.628: [GC 956381K->845741K(1358080K), 2.0764620 secs]
214.097: [GC 1015533K->813477K(1358080K), 1.4643010 secs]
215.886: [GC 983269K->836037K(1358080K), 1.3171360 secs]
217.641: [GC 1005829K->840645K(1358080K), 0.6789930 secs]
218.648: [GC 1010437K->844701K(1358080K), 0.3166670 secs]
219.299: [GC 1014493K->831277K(1358080K), 0.2172240 secs]
219.818: [GC 1001069K->834613K(1358080K), 0.2718310 secs]
220.390: [GC 1004405K->820933K(1358080K), 0.1367000 secs]
220.862: [GC 990725K->825717K(1358080K), 0.2045980 secs]
221.434: [GC 995509K->848293K(1358080K), 0.3227490 secs]
222.089: [GC 1018085K->852277K(1358080K), 0.3658090 secs]
222.762: [GC 1022069K->819813K(1358080K), 0.1602880 secs]
223.211: [GC 989605K->842357K(1221696K), 0.2475920 secs]
223.784: [GC 1012149K->846813K(1365184K), 0.3393730 secs]
224.435: [GC 1026397K->840301K(1229376K), 0.2289260 secs]
225.003: [GC 1019885K->834517K(1359488K), 0.1869630 secs]
225.595: [GC 1025301K->818853K(1352704K), 0.1256030 secs]
226.068: [GC 1009637K->821301K(1355840K), 0.1060500 secs]
226.530: [GC 1030069K->837461K(1361792K), 0.2464630 secs]
227.128: [GC 1046229K->835653K(1360320K), 0.2336000 secs]
227.781: [GC 1064837K->832085K(1367168K), 0.2139920 secs]
228.415: [GC 1061269K->828677K(1371776K), 0.1812780 secs]
229.016: [GC 1079557K->841157K(1377536K), 0.2433820 secs]
