0.110: [GC 22085K->20063K(92352K), 0.0293610 secs]
0.222: [GC 45599K->39868K(92352K), 0.0494090 secs]
0.296: [GC 65404K->59605K(92352K), 0.0605980 secs]
0.376: [GC 85141K->79415K(105024K), 0.0592540 secs]
0.436: [Full GC 79415K->79415K(105024K), 0.1289530 secs]
0.595: [GC 127360K->116415K(184600K), 0.2645720 secs]
0.904: [GC 167423K->155948K(207064K), 0.1134410 secs]
1.017: [Full GC 155948K->155948K(207064K), 0.2620410 secs]
1.355: [GC 249559K->232315K(361856K), 0.2659580 secs]
1.682: [GC 332155K->315016K(415000K), 0.2178670 secs]
1.900: [Full GC 315016K->309157K(415000K), 0.5718190 secs]
2.595: [GC 494565K->447035K(717056K), 1.4696660 secs]
4.203: [GC 644923K->606102K(804032K), 1.0800430 secs]
5.283: [Full GC 606102K->565086K(804032K), 3.7663780 secs]
9.311: [GC 941982K->627961K(1365748K), 0.3493860 secs]
9.856: [GC 1004857K->642342K(1365748K), 0.2577640 secs]
10.312: [GC 1019238K->643900K(1365748K), 0.1199480 secs]
10.632: [GC 1020796K->646096K(1365748K), 0.0664190 secs]
10.927: [GC 1022992K->628234K(1365748K), 0.0251510 secs]
11.188: [GC 1005130K->630325K(1365748K), 0.0298710 secs]
11.512: [GC 1007221K->631419K(1365748K), 0.0323860 secs]
11.832: [GC 1008315K->650207K(1365748K), 0.0757860 secs]
12.200: [GC 1027103K->651902K(1365748K), 0.0796950 secs]
12.540: [GC 1028798K->635626K(1365748K), 0.0384450 secs]
12.768: [GC 1012522K->638057K(1365748K), 0.0438390 secs]
13.010: [GC 1014953K->658459K(1365748K), 0.0883130 secs]
13.296: [GC 1035355K->642762K(1365748K), 0.0610000 secs]
13.558: [GC 1019658K->643932K(1365748K), 0.1284730 secs]
13.893: [GC 1020828K->644654K(1365748K), 0.0556180 secs]
14.142: [GC 1021550K->645994K(1365748K), 0.0585840 secs]
14.396: [GC 1022890K->628849K(1365748K), 0.0407300 secs]
14.631: [GC 1005745K->647963K(1365748K), 0.1226670 secs]
14.983: [GC 1024859K->702341K(1365748K), 0.2210050 secs]
15.479: [GC 1079237K->977078K(1365748K), 0.8260060 secs]
16.499: [Full GC 1353974K->572728K(1365748K), 3.2300260 secs]
19.959: [GC 954680K->657274K(1384180K), 0.3546180 secs]
20.586: [GC 1039226K->673054K(1384180K), 0.1300130 secs]
21.008: [GC 1055006K->675330K(1384180K), 0.0705970 secs]
21.543: [GC 1057282K->674875K(1384180K), 0.1147390 secs]
22.012: [GC 1056827K->671887K(1384180K), 0.0744410 secs]
22.349: [GC 1053839K->673667K(1384180K), 0.0551570 secs]
22.594: [GC 1055619K->676555K(1384180K), 0.0602900 secs]
22.846: [GC 1058507K->679765K(1384180K), 0.0663790 secs]
23.106: [GC 1061717K->683930K(1384180K), 0.0743720 secs]
23.376: [GC 1065882K->669838K(1384180K), 0.0471510 secs]
23.636: [GC 1051790K->675274K(1384180K), 0.0576840 secs]
23.888: [GC 1057226K->679255K(1384180K), 0.0654490 secs]
24.145: [GC 1061207K->684589K(1384180K), 0.0781980 secs]
24.429: [GC 1066541K->670552K(1384180K), 0.0485220 secs]
24.671: [GC 1052504K->673383K(1384180K), 0.0568400 secs]
24.932: [GC 1055335K->678377K(1384180K), 0.0667910 secs]
25.293: [GC 1060329K->718082K(1384180K), 0.1925900 secs]
25.704: [GC 1100034K->870352K(1384180K), 0.3973750 secs]
26.296: [GC 1252304K->895559K(1384180K), 0.1468700 secs]
26.632: [GC 1277511K->991693K(1384180K), 0.2534670 secs]
27.068: [Full GC 1373645K->530554K(1384180K), 3.2472850 secs]
31.021: [GC 912506K->638264K(1384180K), 0.5684730 secs]
32.027: [GC 1020216K->663971K(1384180K), 0.3401860 secs]
32.804: [GC 1045923K->668746K(1384180K), 0.1518160 secs]
33.643: [GC 1050698K->654790K(1384180K), 0.0772700 secs]
34.160: [GC 1036742K->643005K(1384180K), 0.0246420 secs]
34.626: [GC 1024957K->665783K(1384180K), 0.1303700 secs]
35.203: [GC 1047735K->652188K(1384180K), 0.0662760 secs]
35.727: [GC 1034140K->657649K(1384180K), 0.0983040 secs]
36.275: [GC 1039601K->663882K(1384180K), 0.1217940 secs]
36.855: [GC 1045834K->650400K(1384180K), 0.1205110 secs]
37.564: [GC 1032352K->673903K(1384180K), 0.1623000 secs]
38.189: [GC 1055855K->660505K(1384180K), 0.1065820 secs]
38.732: [GC 1042457K->664486K(1384180K), 0.1275750 secs]
39.341: [GC 1046438K->668258K(1384180K), 0.1397990 secs]
39.927: [GC 1050210K->671293K(1384180K), 0.3854130 secs]
40.815: [GC 1053245K->693309K(1384180K), 0.2696910 secs]
41.743: [GC 1075261K->794837K(1384180K), 1.1589010 secs]
43.333: [GC 1176789K->860076K(1384180K), 1.2675170 secs]
45.099: [GC 1242028K->916326K(1384180K), 0.4748080 secs]
46.143: [GC, 3.9900100 secs]
50.134: [Full GC 1448192K->535229K(1448192K), 3.1351350 secs]
53.916: [GC 917181K->671013K(1384180K), 0.6575020 secs]
55.009: [GC 1052965K->679399K(1384180K), 0.2573690 secs]
55.702: [GC 1061351K->703329K(1384180K), 0.1516080 secs]
56.290: [GC 1085281K->690499K(1384180K), 0.0966100 secs]
56.822: [GC 1072451K->696076K(1384180K), 0.1222820 secs]
57.432: [GC 1078028K->700180K(1384180K), 0.1529330 secs]
58.169: [GC 1082132K->704959K(1384180K), 0.1806470 secs]
58.800: [GC 1086911K->708338K(1384180K), 0.1996600 secs]
59.472: [GC 1090290K->676085K(1384180K), 0.0567360 secs]
59.977: [GC 1058037K->697827K(1384180K), 0.1280180 secs]
60.566: [GC 1079779K->702813K(1384180K), 0.1551540 secs]
61.183: [GC 1084765K->708047K(1384180K), 0.1835010 secs]
61.969: [GC 1089999K->785230K(1384180K), 0.6045010 secs]
62.998: [GC 1167182K->895600K(1384180K), 0.7224720 secs]
64.156: [GC 1277552K->921066K(1384180K), 0.5540580 secs]
65.157: [GC 1303018K->907245K(1384180K), 0.0992360 secs]
65.932: [GC 1289197K->912833K(1384180K), 0.1417770 secs]
66.538: [GC 1294785K->917389K(1384180K), 0.1445970 secs]
67.117: [GC 1299341K->921286K(1384180K), 0.1610670 secs]
67.728: [GC 1303238K->927104K(1384180K), 0.1867620 secs]
68.332: [GC 1309056K->1023454K(1405492K), 1.3733190 secs]
69.706: [Full GC 1023454K->553536K(1405492K), 5.0885750 secs]
75.407: [GC 935488K->634218K(1384180K), 0.7999470 secs]
76.649: [GC 1016170K->699756K(1384180K), 0.5058030 secs]
77.570: [GC 1081708K->782422K(1384180K), 0.5807840 secs]
78.576: [GC 1164374K->846473K(1384180K), 0.5029440 secs]
79.756: [GC 1228425K->866661K(1384180K), 0.3949040 secs]
80.672: [GC 1248613K->854252K(1384180K), 0.0980400 secs]
81.272: [GC 1236204K->877678K(1384180K), 0.1988240 secs]
81.947: [GC 1259630K->846510K(1384180K), 0.0643600 secs]
82.440: [GC 1228462K->868224K(1384180K), 0.1580360 secs]
83.204: [GC 1250176K->873300K(1384180K), 0.2020880 secs]
83.848: [GC 1255252K->988128K(1384180K), 1.0453300 secs]
85.317: [Full GC 1370080K->639190K(1384180K), 4.3865180 secs]
90.360: [GC 1046678K->676069K(1476928K), 0.2645670 secs]
91.212: [GC 1083557K->663121K(1476928K), 0.1511800 secs]
92.131: [GC 1070609K->650906K(1476928K), 0.0792490 secs]
92.774: [GC 1058394K->675605K(1476928K), 0.3611720 secs]
93.628: [GC 1083093K->663650K(1476928K), 0.1179350 secs]
94.224: [GC 1071138K->652620K(1476928K), 0.1594430 secs]
94.916: [GC 1060108K->731660K(1476928K), 0.6815240 secs]
96.066: [GC 1139148K->804777K(1476928K), 0.8709620 secs]
97.436: [GC 1212265K->870427K(1476928K), 0.5345560 secs]
98.483: [GC 1277915K->913155K(1476928K), 0.4452530 secs]
99.533: [GC, 1.5776480 secs]
101.112: [Full GC 1476928K->643649K(1476928K), 6.1126970 secs]
107.884: [GC 1051137K->677553K(1476928K), 0.2821210 secs]
108.645: [GC 1085041K->666081K(1476928K), 0.2917310 secs]
109.406: [GC 1073569K->674004K(1476928K), 0.1562940 secs]
110.041: [GC 1081492K->663366K(1476928K), 0.0957750 secs]
110.602: [GC 1070854K->670821K(1476928K), 0.1298820 secs]
111.200: [GC 1078309K->660745K(1476928K), 0.1490950 secs]
111.944: [GC 1068233K->666776K(1476928K), 0.1480320 secs]
112.557: [GC 1074264K->673357K(1476928K), 0.1393590 secs]
113.167: [GC 1080845K->698642K(1476928K), 0.4054100 secs]
113.995: [GC 1106130K->871194K(1476928K), 2.6139880 secs]
117.225: [GC 1278682K->902150K(1476928K), 0.3902680 secs]
118.081: [Full GC 1309638K->664117K(1476928K), 3.6453620 secs]
122.312: [GC 1071605K->688889K(1476928K), 0.1202290 secs]
122.896: [GC 1096377K->696980K(1476928K), 0.3144400 secs]
123.892: [GC 1104468K->686659K(1476928K), 0.1239480 secs]
124.489: [GC 1094147K->857141K(1476928K), 0.9953180 secs]
125.907: [GC 1264629K->1027597K(1476928K), 1.0231740 secs]
127.476: [Full GC 1435085K->622027K(1476928K), 3.9093320 secs]
132.032: [GC 1029515K->651437K(1476928K), 0.1399260 secs]
132.635: [GC 1058925K->658111K(1476928K), 0.1690870 secs]
133.269: [GC 1065599K->646353K(1476928K), 0.1168810 secs]
133.847: [GC 1053841K->652063K(1476928K), 0.1423710 secs]
134.457: [GC 1059551K->639120K(1476928K), 0.0838740 secs]
135.004: [GC 1046608K->646909K(1476928K), 0.1202770 secs]
135.680: [GC 1054397K->635897K(1476928K), 0.0692300 secs]
136.216: [GC 1043385K->642668K(1476928K), 0.1800770 secs]
136.868: [GC 1050156K->648979K(1476928K), 0.2625670 secs]
137.604: [GC 1056467K->691012K(1476928K), 0.7680010 secs]
138.817: [GC 1098500K->768498K(1476928K), 0.5712310 secs]
140.045: [GC 1175986K->850548K(1476928K), 0.6219850 secs]
141.130: [GC 1258036K->870058K(1476928K), 0.3050840 secs]
